52c3 勃
52c5 勅
52c7 勇
52c9 勉
52d5 動
52d8 勘
52d9 務
52dd 勝
52df 募
52e2 勢
52e4 勤
52e7 勧
52f2 勲
52fe 勾
5302 匂
5305 包
5316 化
5317 北
5320 匠
5339 匹
533a 区
533b 医
533f 匿
5341 十
5343 千
5347 升
5348 午
534a 半
5351 卑
5352 卒
5353 卓
5354 協
5357 南
5358 単
535a 博
5360 占
5370 印
5371 危
5373 即
5374 却
5375 卵
5378 卸
5384 厄
5398 厘
539a 厚
539f 原
53b3 厳
53bb 去
53c2 参
53c8 又
53ca 及
53cb 友
53cc 双
53cd 反
53ce 収
53d4 叔
53d6 取
53d7 受
53d9 叙
53e3 口
53e4 古
53e5 句
53eb 叫
53ec 召
53ef 可
53f0 台
53f1 叱
53f2 史
53f3 右
53f7 号
53f8 司
5404 各
5408 合
5409 吉
540c 同
540d 名
540e 后
540f 吏
5410 吐
5411 向
541b 君
541f 吟
5426 否
542b 含
5438 吸
5439 吹
5442 呂
5448 呈
5449 呉
544a 告
5468 周
546a 呪
5473 味
547c 呼
547d 命
548c 和
54b2 咲
54bd 咽
54c0 哀
54c1 品
54e1 員
54f2 哲
54fa 哺
5504 唄
5506 唆
5507 唇
5510 唐
552f 唯
5531 唱
553e 唾
5546 商
554f 問
5553 啓
5584 善
5589 喉
559a 喚
559c 喜
559d 喝
55a9 喩
55aa 喪
55ab 喫
55b6 営
55c5 嗅
55e3 嗣
5606 嘆
5631 嘱
5632 嘲
5668 器
5674 噴
5687 嚇
56da 囚
56db 四
56de 回
56e0 因
56e3 団
56f0 困
56f2 囲
56f3 図
56fa 固
56fd 国
570f 圏
5712 園
571f 土
5727 圧
5728 在
5730 地
5742 坂
5747 均
574a 坊
5751 坑
576a 坪
5782 垂
578b 型
57a3 垣
57cb 埋
57ce 城
57df 域
57f7 執
57f9 培
57fa 基
57fc 埼
5800 堀
5802 堂
5805 堅
5806 堆
5815 堕
5824 堤
582a 堪
5831 報
5834 場
5840 塀
5841 塁
584a 塊
5851 塑
5854 塔
5857 塗
585a 塚
585e 塞
5869 塩
586b 填
587e 塾
5883 境
5893 墓
5897 増
589c 墜
58a8 墨
58b3 墳
58be 墾
58c1 壁
58c7 壇
58ca 壊
58cc 壌
58eb 士
58ee 壮
58f0 声
58f1 壱
58f2 売
5909 変
590f 夏
5915 夕
5916 外
591a 多
591c 夜
5922 夢
5927 大
5929 天
592a 太
592b 夫
592e 央
5931 失
5947 奇
5948 奈
5949 奉
594f 奏
5951 契
5954 奔
5965 奥
5968 奨
596a 奪
596e 奮
5973 女
5974 奴
597d 好
5982 如
5983 妃
5984 妄
598a 妊
5996 妖
5999 妙
59a5 妥
59a8 妨
59ac 妬
59b9 妹
59bb 妻
59c9 姉
59cb 始
59d3 姓
59d4 委
59eb 姫
59fb 姻
59ff 姿
5a01 威
5a18 娘
5a20 娠
5a2f 娯
5a46 婆
5a5a 婚
5a66 婦
5a7f 婿
5a92 媒
5a9b 媛
5ac1 嫁
5ac9 嫉
5acc 嫌
5ae1 嫡
5b22 嬢
5b50 子
5b54 孔
5b57 字
5b58 存
5b5d 孝
5b63 季
5b64 孤
5b66 学
5b6b 孫
5b85 宅
5b87 宇
5b88 守
5b89 安
5b8c 完
5b97 宗
5b98 官
5b99 宙
5b9a 定
5b9b 宛
5b9c 宜
5b9d 宝
5b9f 実
5ba2 客
5ba3 宣
5ba4 室
5bae 宮
5bb0 宰
5bb3 害
5bb4 宴
5bb5 宵
5bb6 家
5bb9 容
5bbf 宿
5bc2 寂
5bc4 寄
5bc6 密
5bcc 富
5bd2 寒
5bdb 寛
5bdd 寝
5bdf 察
5be1 寡
5be7 寧
5be9 審
5bee 寮
5bf8 寸
5bfa 寺
5bfe 対
5bff 寿
5c01 封
5c02 専
5c04 射
5c06 将
5c09 尉
5c0a 尊
5c0b 尋
5c0e 導
5c0f 小
5c11 少
5c1a 尚
5c31 就
5c3a 尺
5c3b 尻
5c3c 尼
5c3d 尽
5c3e 尾
5c3f 尿
5c40 局
5c45 居
5c48 屈
5c4a 届
5c4b 屋
5c55 展
5c5e 属
5c64 層
5c65 履
5c6f 屯
5c71 山
5c90 岐
5ca1 岡
5ca9 岩
5cac 岬
5cb3 岳
5cb8 岸
5ce0 峠
5ce1 峡
5cf0 峰
5cf6 島
5d07 崇
5d0e 崎
5d16 崖
5d29 崩
5d50 嵐
5ddd 川
5dde 州
5de1 巡
5de3 巣
5de5 工
5de6 左
5de7 巧
5de8 巨
5dee 差
5df1 己
5dfb 巻
5dfe 巾
5e02 市
5e03 布
5e06 帆
5e0c 希
5e1d 帝
5e25 帥
5e2b 師
5e2d 席
5e2f 帯
5e30 帰
5e33 帳
5e38 常
5e3d 帽
5e45 幅
5e55 幕
5e63 幣
5e72 干
5e73 平
5e74 年
5e78 幸
5e79 幹
5e7b 幻
5e7c 幼
5e7d 幽
5e7e 幾
5e81 庁
5e83 広
5e8a 床
5e8f 序
5e95 底
5e97 店
5e9c 府
5ea6 度
5ea7 座
5eab 庫
5ead 庭
5eb6 庶
5eb7 康
5eb8 庸
5ec3 廃
5ec9 廉
5eca 廊
5ef6 延
5ef7 廷
5efa 建
5f01 弁
5f04 弄
5f0a 弊
5f0f 式
5f10 弐
5f13 弓
5f14 弔
5f15 引
5f1f 弟
5f25 弥
5f26 弦
5f27 弧
5f31 弱
5f35 張
5f37 強
5f3e 弾
5f53 当
5f59 彙
5f62 形
5f69 彩
5f6b 彫
5f70 彰
5f71 影
5f79 役
5f7c 彼
5f80 往
5f81 征
5f84 径
5f85 待
5f8b 律
5f8c 後
5f90 徐
5f92 徒
5f93 従
5f97 得
5fa1 御
5fa9 復
5faa 循
5fae 微
5fb3 徳
5fb4 徴
5fb9 徹
5fc3 心
5fc5 必
5fcc 忌
5fcd 忍
5fd7 志
5fd8 忘
5fd9 忙
5fdc 応
5fe0 忠
5feb 快
5ff5 念
6012 怒
6016 怖
601d 思
6020 怠
6025 急
6027 性
6028 怨
602a 怪
604b 恋
6050 恐
6052 恒
6063 恣
6065 恥
6068 恨
6069 恩
606d 恭
606f 息
6075 恵
6094 悔
609f 悟
60a0 悠
60a3 患
60a6 悦
60a9 悩
60aa 悪
60b2 悲
60bc 悼
60c5 情
60d1 惑
60dc 惜
60e7 惧
60e8 惨
60f0 惰
60f3 想
6101 愁
6109 愉
610f 意
611a 愚
611b 愛
611f 感
6144 慄
6148 慈
614b 態
614c 慌
614e 慎
6155 慕
6162 慢
6163 慣
6168 慨
616e 慮
6170 慰
6176 慶
6182 憂
618e 憎
61a4 憤
61a7 憧
61a9 憩
61ac 憬
61b2 憲
61b6 憶
61be 憾
61c7 懇
61d0 懐
61f2 懲
61f8 懸
6210 成
6211 我
6212 戒
621a 戚
6226 戦
622f 戯
6234 戴
6238 戸
623b 戻
623f 房
6240 所
6247 扇
6249 扉
624b 手
624d 才
6253 打
6255 払
6271 扱
6276 扶
6279 批
627f 承
6280 技
6284 抄
628a 把
6291 抑
6295 投
6297 抗
6298 折
629c 抜
629e 択
62ab 披
62b1 抱
62b5 抵
62b9 抹
62bc 押
62bd 抽
62c5 担
62c9 拉
62cd 拍
62d0 拐
62d2 拒
62d3 拓
62d8 拘
62d9 拙
62db 招
62dd 拝
62e0 拠
62e1 拡
62ec 括
62ed 拭
62f3 拳
62f6 拶
62f7 拷
62fe 拾
6301 持
6307 指
6311 挑
6319 挙
631f 挟
6328 挨
632b 挫
632f 振
633f 挿
6349 捉
6355 捕
6357 捗
635c 捜
6368 捨
636e 据
637b 捻
6383 掃
6388 授
638c 掌
6392 排
6398 掘
639b 掛
63a1 採
63a2 探
63a5 接
63a7 控
63a8 推
63aa 措
63b2 掲
63cf 描
63d0 提
63da 揚
63db 換
63e1 握
63ee 揮
63f4 援
63fa 揺
640d 損
642c 搬
642d 搭
643a 携
643e 搾
6442 摂
6458 摘
6469 摩
646f 摯
6483 撃
64a4 撤
64ae 撮
64b2 撲
64c1 擁
64cd 操
64e6 擦
64ec 擬
652f 支
6539 改
653b 攻
653e 放
653f 政
6545 故
654f 敏
6551 救
6557 敗
6559 教
6562 敢
6563 散
656c 敬
6570 数
6574 整
6575 敵
6577 敷
6587 文
6589 斉
658e 斎
6591 斑
6597 斗
6599 料
659c 斜
65a4 斤
65a5 斥
65ac 斬
65ad 断
65b0 新
65b9 方
65bd 施
65c5 旅
65cb 旋
65cf 族
65d7 旗
65e2 既
65e5 日
65e6 旦
65e7 旧
65e8 旨
65e9 早
65ec 旬
65fa 旺
6606 昆
6607 昇
660e 明
6613 易
6614 昔
661f 星
6620 映
6625 春
6627 昧
6628 昨
662d 昭
662f 是
663c 昼
6642 時
6669 晩
666e 普
666f 景
6674 晴
6676 晶
6681 暁
6687 暇
6691 暑
6696 暖
6697 暗
66a6 暦
66ab 暫
66ae 暮
66b4 暴
66c7 曇
66d6 曖
66dc 曜
66f2 曲
66f4 更
66f8 書
66f9 曹
66fd 曽
66ff 替
6700 最
