5840 塀
5841 塁
584a 塊
5851 塑
5854 塔
5857 塗
5858 塘
5859 塙
585a 塚
585e 塞
5869 塩
586b 填
5875 塵
587e 塾
5883 境
5893 墓
5897 増
589c 墜
58a8 墨
58b3 墳
58be 墾
58c1 壁
58c7 壇
58ca 壊
58cc 壌
58d5 壕
58eb 士
58ec 壬
58ee 壮
58f0 声
58f1 壱
58f2 売
58f7 壷
5909 変
590f 夏
5915 夕
5916 外
5919 夙
591a 多
591c 夜
5922 夢
5927 大
5929 天
592a 太
592b 夫
592e 央
5931 失
5937 夷
5944 奄
5947 奇
5948 奈
5949 奉
594f 奏
5951 契
5954 奔
5957 套
5965 奥
5968 奨
596a 奪
596e 奮
5973 女
5974 奴
597d 好
5982 如
5983 妃
5984 妄
598a 妊
5993 妓
5996 妖
5999 妙
59a5 妥
59a8 妨
59ac 妬
59b9 妹
59bb 妻
59be 妾
59c9 姉
59cb 始
59d0 姐
59d1 姑
59d3 姓
59d4 委
59e5 姥
59e6 姦
59ea 姪
59eb 姫
59f6 姶
59fb 姻
59ff 姿
5a01 威
5a03 娃
5a18 娘
5a20 娠
5a29 娩
5a2f 娯
5a3c 娼
5a41 婁
5a46 婆
5a5a 婚
5a66 婦
5a7f 婿
5a92 媒
5a9b 媛
5ac1 嫁
5ac9 嫉
5acc 嫌
5ae1 嫡
5b09 嬉
5b22 嬢
5b2c 嬬
5b30 嬰
5b50 子
5b54 孔
5b57 字
5b58 存
5b5c 孜
5b5d 孝
5b5f 孟
5b63 季
5b64 孤
5b66 学
5b6b 孫
5b85 宅
5b87 宇
5b88 守
5b89 安
5b8b 宋
5b8c 完
5b8d 宍
5b8f 宏
5b95 宕
5b97 宗
5b98 官
5b99 宙
5b9a 定
5b9b 宛
5b9c 宜
5b9d 宝
5b9f 実
5ba2 客
5ba3 宣
5ba4 室
5ba5 宥
5bae 宮
5bb0 宰
5bb3 害
5bb4 宴
5bb5 宵
5bb6 家
5bb9 容
5bbf 宿
5bc2 寂
5bc4 寄
5bc5 寅
5bc6 密
5bcc 富
5bd2 寒
5bd3 寓
5bdb 寛
5bdd 寝
5bdf 察
5be1 寡
5be7 寧
5be9 審
5bee 寮
5bf5 寵
5bf8 寸
5bfa 寺
5bfe 対
5bff 寿
5c01 封
5c02 専
5c04 射
5c06 将
5c09 尉
5c0a 尊
5c0b 尋
5c0e 導
5c0f 小
5c11 少
5c16 尖
5c1a 尚
5c24 尤
5c2d 尭
5c31 就
5c3a 尺
5c3b 尻
5c3c 尼
5c3d 尽
5c3e 尾
5c3f 尿
5c40 局
5c45 居
5c48 屈
5c4a 届
5c4b 屋
5c4d 屍
5c51 屑
5c55 展
5c5e 属
5c60 屠
5c61 屡
5c64 層
5c65 履
5c6f 屯
5c71 山
5c90 岐
5ca1 岡
5ca8 岨
5ca9 岩
5cac 岬
5cb1 岱
5cb3 岳
5cb8 岸
5ce0 峠
5ce1 峡
5ce8 峨
5cef 峯
5cf0 峰
5cf6 島
5cfb 峻
5d07 崇
5d0e 崎
5d16 崖
5d29 崩
5d50 嵐
5d69 嵩
5d6f 嵯
5d8b 嶋
5dba 嶺
5dcc 巌
5ddd 川
5dde 州
5de1 巡
5de3 巣
5de5 工
5de6 左
5de7 巧
5de8 巨
5dee 差
5df1 己
5df3 巳
5df4 巴
5df7 巷
5dfb 巻
5dfd 巽
5dfe 巾
5e02 市
5e03 布
5e06 帆
5e0c 希
5e16 帖
5e1d 帝
5e25 帥
5e2b 師
5e2d 席
5e2f 帯
5e30 帰
5e33 帳
5e38 常
5e3d 帽
5e45 幅
5e4c 幌
5e55 幕
5e61 幡
5e63 幣
5e72 干
5e73 平
5e74 年
5e78 幸
5e79 幹
5e7b 幻
5e7c 幼
5e7d 幽
5e7e 幾
5e81 庁
5e83 広
5e84 庄
5e87 庇
5e8a 床
5e8f 序
5e95 底
5e96 庖
5e97 店
5e9a 庚
5e9c 府
5ea6 度
5ea7 座
5eab 庫
5ead 庭
5eb5 庵
5eb6 庶
5eb7 康
5eb8 庸
5ec3 廃
5ec9 廉
5eca 廊
5ed3 廓
5edf 廟
5ee0 廠
5ef6 延
5ef7 廷
5efa 建
5efb 廻
5efc 廼
5eff 廿
5f01 弁
5f04 弄
5f0a 弊
5f0f 式
5f10 弐
5f13 弓
5f14 弔
5f15 引
5f17 弗
5f18 弘
5f1b 弛
5f1f 弟
5f25 弥
5f26 弦
5f27 弧
5f31 弱
5f35 張
5f37 強
5f3c 弼
5f3e 弾
5f4a 彊
5f53 当
5f62 形
5f66 彦
5f69 彩
5f6a 彪
5f6b 彫
5f6c 彬
5f70 彰
5f71 影
5f79 役
5f7c 彼
5f80 往
5f81 征
5f84 径
5f85 待
5f8b 律
5f8c 後
5f90 徐
5f92 徒
5f93 従
5f97 得
5fa1 御
5fa9 復
5faa 循
5fae 微
5fb3 徳
5fb4 徴
5fb9 徹
5fbd 徽
5fc3 心
5fc5 必
5fcc 忌
5fcd 忍
5fd7 志
5fd8 忘
5fd9 忙
5fdc 応
5fe0 忠
5feb 快
5ff5 念
5ffd 忽
6012 怒
6016 怖
601c 怜
601d 思
6020 怠
6025 急
6027 性
6028 怨
602a 怪
602f 怯
604b 恋
6050 恐
6052 恒
6055 恕
6062 恢
6065 恥
6068 恨
6069 恩
606d 恭
606f 息
6070 恰
6075 恵
6089 悉
608c 悌
6094 悔
609f 悟
60a0 悠
60a3 患
60a6 悦
60a9 悩
60aa 悪
60b2 悲
60b6 悶
60bc 悼
60c5 情
60c7 惇
60d1 惑
60da 惚
60dc 惜
60df 惟
60e3 惣
60e8 惨
60f0 惰
60f3 想
60f9 惹
6101 愁
6108 愈
6109 愉
610f 意
611a 愚
611b 愛
611f 感
6148 慈
614b 態
614c 慌
614e 慎
6155 慕
6162 慢
6163 慣
6167 慧
6168 慨
616e 慮
6170 慰
6176 慶
617e 慾
6182 憂
618e 憎
6190 憐
61a4 憤
61a7 憧
61a9 憩
61b2 憲
61b6 憶
61be 憾
61c7 懇
61d0 懐
61f2 懲
61f8 懸
620a 戊
620e 戎
6210 成
6211 我
6212 戒
6216 或
621a 戚
621f 戟
6226 戦
622f 戯
6234 戴
6238 戸
623b 戻
623f 房
6240 所
6247 扇
6249 扉
624b 手
624d 才
6253 打
6255 払
6258 托
626e 扮
6271 扱
6276 扶
6279 批
627f 承
6280 技
6284 抄
628a 把
6291 抑
6295 投
6297 抗
6298 折
629c 抜
629e 択
62ab 披
62b1 抱
62b5 抵
62b9 抹
62bc 押
62bd 抽
62c5 担
62cd 拍
62d0 拐
62d2 拒
62d3 拓
62d8 拘
62d9 拙
62db 招
62dd 拝
62e0 拠
62e1 拡
62ec 括
62ed 拭
62f3 拳
62f6 拶
62f7 拷
62fe 拾
6301 持
6307 指
6309 按
6311 挑
6319 挙
631f 挟
6328 挨
632b 挫
632f 振
633a 挺
633d 挽
633f 挿
6349 捉
634c 捌
6355 捕
6357 捗
635c 捜
6367 捧
6368 捨
636e 据
6372 捲
6377 捷
637a 捺
637b 捻
6383 掃
6388 授
638c 掌
6392 排
6398 掘
639b 掛
63a0 掠
63a1 採
63a2 探
63a5 接
63a7 控
63a8 推
63a9 掩
63aa 措
63ac 掬
63b2 掲
63b4 掴
63bb 掻
63c3 揃
63cf 描
63d0 提
63d6 揖
63da 揚
63db 換
63e1 握
63ee 揮
63f4 援
63fa 揺
640d 損
642c 搬
642d 搭
643a 携
643e 搾
6442 摂
6458 摘
6469 摩
6478 摸
647a 摺
6483 撃
6492 撒
649a 撚
649e 撞
64a4 撤
64ab 撫
64ad 播
64ae 撮
64b0 撰
64b2 撲
64b9 撹
64c1 擁
64cd 操
64e2 擢
64e6 擦
64ec 擬
64fe 擾
652f 支
6539 改
653b 攻
653e 放
653f 政
6545 故
654f 敏
6551 救
6557 敗
6559 教
6562 敢
6563 散
6566 敦
656c 敬
6570 数
6574 整
6575 敵
6577 敷
6587 文
6589 斉
658c 斌
658e 斎
6590 斐
6591 斑
6597 斗
6599 料
659c 斜
65a1 斡
65a4 斤
65a5 斥
65a7 斧
65ac 斬
65ad 断
65af 斯
65b0 新
65b9 方
65bc 於
65bd 施
65c5 旅
65cb 旋
65cf 族
65d7 旗
65e2 既
65e5 日
65e6 旦
65e7 旧
65e8 旨
65e9 早
65ec 旬
65ed 旭
65fa 旺
6602 昂
6606 昆
6607 昇
660c 昌
660e 明
660f 昏
6613 易
6614 昔
661f 星
6620 映
6625 春
6627 昧
6628 昨
662d 昭
662f 是
663c 昼
6642 時
6643 晃
664b 晋
6652 晒
6666 晦
6669 晩
666e 普
666f 景
6674 晴
6676 晶
667a 智
6681 暁
6687 暇
6691 暑
6696 暖
6697 暗
66a2 暢
66a6 暦
66ab 暫
66ae 暮
66b4 暴
66c7 曇
66d9 曙
66dc 曜
66dd 曝
66f2 曲
66f3 曳
66f4 更
66f8 書
66f9 曹
66fd 曽
66fe 曾
66ff 替
6700 最
6708 月
6709 有
670b 朋
670d 服
6714 朔
6715 朕
6717 朗
671b 望
671d 朝
671f 期
6728 木
672a 未
672b 末
672c 本
672d 札
6731 朱
6734 朴
673a 机
673d 朽
6749 杉
674e 李
674f 杏
6750 材
6751 村
6753 杓
6756 杖
675c 杜
675f 束
6761 条
6762 杢
6765 来
676d 杭
676f 杯
6771 東
6775 杵
6777 杷
677e 松
677f 板
6787 枇
6790 析
6795 枕
6797 林
679a 枚
679c 果
679d 枝
67a0 枠
67a2 枢
67af 枯
67b6 架
67c1 柁
67c4 柄
67ca 柊
67cf 柏
67d0 某
67d1 柑
67d3 染
67d4 柔
67d8 柘
67da 柚
67f1 柱
67f3 柳
67f4 柴
67f5 柵
67fb 査
67fe 柾
67ff 柿
6802 栂
6803 栃
6804 栄
6813 栓
6816 栖
6817 栗
6821 校
6822 栢
682a 株
6834 栴
6838 核
6839 根
683c 格
683d 栽
6841 桁
6842 桂
6843 桃
6848 案
6850 桐
6851 桑
6853 桓
6854 桔
685c 桜
685d 桝
685f 桟
6867 桧
6876 桶
6881 梁
6885 梅
6893 梓
6897 梗
68a2 梢
68a7 梧
68a8 梨
68af 梯
68b0 械
68b1 梱
68b6 梶
68bc 梼
68c4 棄
68c9 棉
68cb 棋
68d2 棒
68da 棚
68df 棟
68ee 森
68f2 棲
68fa 棺
6900 椀
6905 椅
690b 椋
690d 植
690e 椎
6919 椙
691b 椛
691c 検
6934 椴
693f 椿
694a 楊
6953 楓
6955 楕
695a 楚
6960 楠
6962 楢
696d 業
696f 楯
6973 楳
6975 極
697c 楼
697d 楽
6982 概
698a 榊
698e 榎
6994 榔
699b 榛
69cb 構
69cc 槌
69cd 槍
69d8 様
69d9 槙
69fb 槻
69fd 槽
6a0b 樋
6a17 樗
6a19 標
6a1f 樟
6a21 模
6a29 権
6a2a 横
6a2b 樫
6a35 樵
6a39 樹
6a3a 樺
6a3d 樽
6a4b 橋
6a58 橘
6a5f 機
6a61 橡
6a7f 橿
6a80 檀
6a8e 檎
6ad3 櫓
6adb 櫛
6ae8 櫨
6b04 欄
6b1d 欝
6b20 欠
6b21 次
6b23 欣
6b27 欧
6b32 欲
6b3a 欺
6b3d 欽
6b3e 款
6b4c 歌
6b4e 歎
6b53 歓
6b62 止
6b63 正
6b64 此
6b66 武
6b69 歩
6b6a 歪
6b6f 歯
6b73 歳
6b74 歴
6b7b 死
6b86 殆
6b89 殉
6b8a 殊
6b8b 残
6b96 殖
6bb4 殴
6bb5 段
6bba 殺
6bbb 殻
6bbf 殿
6bc5 毅
6bcd 母
6bce 毎
6bd2 毒
6bd4 比
6bd8 毘
6bdb 毛
6c0f 氏
6c11 民
6c17 気
6c34 水
6c37 氷
6c38 永
6c3e 氾
6c40 汀
6c41 汁
6c42 求
6c4e 汎
6c50 汐
6c57 汗
6c5a 汚
6c5d 汝
6c5f 江
6c60 池
6c70 汰
6c72 汲
6c7a 決
6c7d 汽
6c83 沃
6c88 沈
6c8c 沌
6c93 沓
6c96 沖
6c99 沙
6ca1 没
6ca2 沢
6cab 沫
6cb3 河
6cb8 沸
6cb9 油
6cbb 治
6cbc 沼
6cbf 沿
6cc1 況
6cc9 泉
6cca 泊
6ccc 泌
6cd5 法
