7825 砥
7826 砦
7827 砧
786f 硯
788e 碎
7893 碓
7897 碗
78a7 碧
78a9 碩
78d0 磐
78ef 磯
7941 祁
7947 祇
7950 祐
7955 祕
7962 祢
7977 祷
797f 祿
7984 禄
798e 禎
79aa 禪
79ae 禮
79b0 禰
79b1 禱
79bd 禽
79be 禾
79e4 秤
79e6 秦
7a00 稀
7a14 稔
7a1c 稜
7a1f 稟
7a3b 稻
7a57 穗
7a63 穣
7a70 穰
7a79 穹
7a7f 穿
7a84 窄
7aaa 窪
7aba 窺
7ae3 竣
7aea 竪
7afa 竺
7aff 竿
7b08 笈
7b19 笙
7b20 笠
7b39 笹
7b48 筈
7b51 筑
7b94 箔
7b95 箕
7bc7 篇
7be0 篠
7c1e 簞
7c3e 簾
7c7e 籾
7c9f 粟
7ca5 粥
7cb9 粹
7cca 糊
7d10 紐
7d17 紗
7d18 紘
7d2c 紬
7d43 絃
7d46 絆
7d62 絢
7d9c 綜
7da0 綠
7db4 綴
7db8 綸
7dba 綺
7dbe 綾
7dcb 緋
7dd6 緖
7de3 緣
7e1e 縞
7e23 縣
7e31 縱
7e61 繡
7e6b 繫
7e82 纂
7e8f 纏
7e96 纖
7f9a 羚
7fd4 翔
7fe0 翠
8000 耀
800c 而
8036 耶
803d 耽
8061 聡
807d 聽
8087 肇
808b 肋
80b4 肴
80e1 胡
80e4 胤
8129 脩
8139 脹
8154 腔
818f 膏
81df 臟
81e5 臥
8207 與
821c 舜
8235 舵
8299 芙
82a5 芥
82a6 芦
82ad 芭
82b9 芹
82d1 苑
82d4 苔
82fa 苺
8304 茄
8305 茅
8309 茉
831c 茜
8338 茸
837b 荻
8389 莉
838a 莊
839e 莞
83ab 莫
83c5 菅
83d6 菖
83e9 菩
83eb 菫
83f1 菱
8404 萄
840a 萊
840c 萌
8420 萠
8429 萩
842c 萬
8431 萱
8461 葡
8463 董
8466 葦
8475 葵
847a 葺
8490 蒐
8494 蒔
8499 蒙
84b2 蒲
84bc 蒼
84c9 蓉
84d1 蓑
84ec 蓬
84ee 蓮
8513 蔓
8523 蔣
8526 蔦
852d 蔭
8543 蕃
8549 蕉
854e 蕎
8557 蕗
8568 蕨
856a 蕪
857e 蕾
8597 薗
8599 薙
85a9 薩
85b0 薰
85c1 藁
85cf 藏
85dd 藝
85e5 藥
8607 蘇
862d 蘭
865b 虛
8766 蝦
8776 蝶
87ba 螺
87ec 蟬
87f9 蟹
881f 蠟
885e 衞
887f 衿
8888 袈
88b4 袴
88dd 裝
88df 裟
88e1 裡
88f3 裳
8956 襖
89bd 覽
8a0a 訊
8a23 訣
8a3b 註
8a62 詢
8a6b 詫
8abc 誼
8ac4 諄
8acf 諏
8ad2 諒
8afa 諺
8b02 謂
8b20 謠
8b83 讃
8b93 讓
8c79 豹
8cb0 貰
8cd1 賑
8ce3 賣
8cf4 賴
8d73 赳
8de8 跨
8e44 蹄
8e5f 蹟
8f14 輔
8f2f 輯
8f3f 輿
8f49 轉
8f5f 轟
8fb0 辰
8fbb 辻
8fbf 辿
8fc2 迂
8fc4 迄
8fe6 迦
8fea 迪
9017 逗
9019 這
901e 逞
9022 逢
9041 遁
9059 遙
9065 遥
907c 遼
9091 邑
90c1 郁
90de 郞
912d 鄭
9149 酉
9187 醇
9189 醉
918d 醍
9190 醐
91ac 醬
91c0 釀
91c9 釉
91d8 釘
91e7 釧
9291 銑
92d2 鋒
92f8 鋸
9304 錄
9306 錆
9310 錐
9318 錘
932b 錫
934a 鍊
936c 鍬
93a7 鎧
93ad 鎭
9444 鑄
9583 閃
958f 閏
95a4 閤
963f 阿
9640 陀
9677 陷
9688 隈
96aa 險
96bc 隼
96c0 雀
96c1 雁
96db 雛
96dc 雜
96eb 雫
971e 霞
9756 靖
975c 靜
9784 鞄
978d 鞍
9798 鞘
97a0 鞠
97ad 鞭
9801 頁
980c 頌
9817 頗
985a 顚
986f 顯
98af 颯
98dc 飜
9957 饗
99a8 馨
99b3 馳
99b4 馴
99c8 駈
99d5 駕
99ff 駿
9a37 騷
9a4d 驍
9a57 驗
9aee 髮
9b41 魁
9b6f 魯
9b8e 鮎
9bc9 鯉
9bdb 鯛
9c2f 鰯
9c52 鱒
9c57 鱗
9ce9 鳩
9cf3 鳳
9cf6 鳶
9d28 鴨
9d3b 鴻
9d5c 鵜
9d6c 鵬
9dc4 鷄
9dd7 鷗
9df2 鷲
9df9 鷹
9dfa 鷺
9e92 麒
9e9f 麟
9ebf 麿
9ec3 黃
9ece 黎
9ed1 黑
9ed8 默
9edb 黛
9f0e 鼎
9f4a 齊
9f8d 龍
f91d 欄
f928 廊
f929 朗
f936 虜
f9d0 類
fa16 猪
fa19 神
fa1a 祥
fa1b 福
fa22 諸
fa26 都
fa30 侮
fa31 僧
fa33 勉
fa34 勤
fa35 卑
fa37 嘆
fa38 器
fa3a 墨
fa3b 層
fa3d 悔
fa3f 憎
fa40 懲
fa41 敏
fa43 暑
fa44 梅
fa45 海
fa46 渚
fa47 漢
fa48 煮
fa4a 琢
fa4b 碑
fa4c 社
fa4d 祉
fa4e 祈
fa4f 祐
fa50 祖
fa51 祝
fa52 禍
fa53 禎
fa54 穀
fa55 突
fa56 節
fa57 練
fa59 繁
fa5a 署
fa5b 者
fa5c 臭
fa5f 著
fa61 視
fa62 謁
fa63 謹
fa64 賓
fa65 贈
fa67 逸
fa68 難
fa69 響
