5e25 帥
5e2b 師
5e2d 席
5e33 帳
5e36 帶
5e38 常
5e45 幅
5e55 幕
5e63 幣
5e72 干
5e73 平
5e74 年
5e78 幸
5e79 幹
5e7c 幼
5e7d 幽
5e7e 幾
5e8a 床
5e8f 序
5e95 底
5e97 店
5e9a 庚
5e9c 府
5ea6 度
5ea7 座
5eab 庫
5ead 庭
5eb6 庶
5eb7 康
5eb8 庸
5ec9 廉
5eca 廊
5edf 廟
5ee2 廢
5ee3 廣
5ef3 廳
5ef6 延
5ef7 廷
5efa 建
5f04 弄
5f0a 弊
5f0f 式
5f13 弓
5f14 弔
5f15 引
5f18 弘
5f1f 弟
5f31 弱
5f35 張
5f37 強
5f48 彈
5f62 形
5f69 彩
5f71 影
5f79 役
5f7c 彼
5f80 往
5f81 征
5f85 待
5f8b 律
5f8c 後
5f90 徐
5f91 徑
5f92 徒
5f97 得
5f9e 從
5fa1 御
5fa9 復
5faa 循
5fae 微
5fb5 徵
5fb7 德
5fb9 徹
5fc3 心
5fc5 必
5fcc 忌
5fcd 忍
5fd7 志
5fd8 忘
5fd9 忙
5fe0 忠
5feb 快
5ff5 念
5ffd 忽
6012 怒
601d 思
6020 怠
6025 急
6027 性
6028 怨
602a 怪
6050 恐
6052 恒
6055 恕
6063 恣
6065 恥
6068 恨
6069 恩
606d 恭
606f 息
6085 悅
6094 悔
609f 悟
60a0 悠
60a3 患
60b2 悲
60c5 情
60d1 惑
60dc 惜
60df 惟
60e0 惠
60e1 惡
60f1 惱
60f3 想
6101 愁
6108 愈
610f 意
611a 愚
611b 愛
611f 感
6127 愧
613c 愼
6148 慈
614b 態
6155 慕
6158 慘
6159 慙
6162 慢
6163 慣
6167 慧
6168 慨
616e 慮
6170 慰
6176 慶
617e 慾
6182 憂
618e 憎
6190 憐
61a4 憤
61ab 憫
61b2 憲
61b6 憶
61c7 懇
61c9 應
61f2 懲
61f7 懷
61f8 懸
61fc 懼
6200 戀
620a 戊
620c 戌
6210 成
6211 我
6212 戒
6216 或
621a 戚
6230 戰
6232 戲
6236 戶
623f 房
6240 所
624b 手
624d 才
6253 打
6258 托
6276 扶
6279 批
627f 承
6280 技
6284 抄
628a 把
6291 抑
6295 投
6297 抗
6298 折
62b1 抱
62b5 抵
62bc 押
62bd 抽
62c2 拂
62cd 拍
62d2 拒
62d3 拓
62d4 拔
62d8 拘
62d9 拙
62db 招
62dc 拜
62f3 拳
62fe 拾
6301 持
6307 指
6311 挑
632f 振
6349 捉
6355 捕
6368 捨
6383 掃
6388 授
638c 掌
6392 排
639b 掛
63a0 掠
63a1 採
63a2 探
63a5 接
63a8 推
63d0 提
63da 揚
63db 換
63ee 揮
63f4 援
640d 損
6416 搖
641c 搜
643a 携
6458 摘
64ad 播
64c1 擁
64c7 擇
64ca 擊
64cd 操
64d4 擔
64da 據
64e7 擧
64f4 擴
651d 攝
