7ac7 竇
7aea 竪
7b0b 笋
7b20 笠
7b2a 笪
7b39 笹
7b4b 筋
7bcb 篋
7c59 籙
7ca7 粧
7cae 粮
7cc9 糉
7ccd 糍
7ced 糭
7cf4 糴
7d5d 絝
7d89 綉
7dab 綫
7db3 綳
7dfc 緼
7e51 繑
7e6e 繮
7e88 纈
7f45 罅
7f49 罉
7f4e 罎
7f68 罨
7f78 罸
7f97 羗
7fa3 羣
8037 耷
809f 肟
80b6 肶
80bc 肼
80bd 肽
80c6 胆
80e9 胩
8107 脇
810e 脎
8112 脒
8117 脗
811a 脚
8132 脲
8137 脷
8148 腈
8156 腖
8159 腙
8169 腩
816d 腭
817d 腽
8189 膉
81a5 膥
81b6 膶
81c1 臁
8216 舖
8218 舘
8226 舦
82a6 芦
82aa 芪
82c4 苄
82dd 苝
82f7 苷
830b 茋
8318 茘
831a 茚
83d3 菓
8418 萘
841c 萜
8471 葱
8484 蒄
84bd 蒽
8534 蔴
85f4 藴
862f 蘯
86ef 蛯
8770 蝰
8772 蝲
877d 蝽
8786 螆
878b 螋
87c4 蟄
87ce 蟎
8804 蠄
8839 蠹
885e 衞
889c 袜
88aa 袪
88c7 裇
88cf 裏
8919 褙
8938 褸
8985 覅
8987 覇
89a5 覥
89e6 触
8ad7 諗
8b34 謴
8b4c 譌
8b9e 讞
8c9b 貛
8ccd 賍
8d0b 贋
8d0f 贏
8daf 趯
8db7 趷
8de3 跣
8e0e 踎
8e2a 踪
8e2d 踭
8e4f 蹏
8e7e 蹾
8e80 躀
8e9d 躝
8ead 躭
8eda 軚
8ef2 軲
8f0b 輋
8f3c 輼
8fba 辺
8fbb 辻
8fbc 込
8fc6 迆
8fcb 迋
8ff9 迹
9017 逗
9056 遖
90a8 邨
90c1 郁
915c 酜
915e 酞
9170 酰
9176 酶
918c 醌
9196 醖
9208 鈈
920e 鈎
922a 鈪
9244 鉄
9255 鉕
9262 鉢
9268 鉨
926e 鉮
9273 鉳
92b9 銹
92be 銾
92e8 鋨
9307 錇
9340 鍀
9345 鍅
9369 鍩
9384 鎄
9385 鎅
9387 鎇
9393 鎓
93ad 鎭
93bf 鎿
9426 鐦
9427 鐧
945b 鑛
9465 鑥
95aa 閪
9683 隃
96a3 隣
96eb 雫
9751 靑
975a 靚
976d 靭
97de 韞
97ee 韮
97f5 韵
985a 顚
986c 顬
98c8 飈
9921 餡
9938 餸
994d 饍
995d 饝
9962 饢
99c5 駅
99e1 駡
9a2d 騭
9ab6 骶
9aba 骺
9abe 骾
9ac8 髈
9ace 髎
9ae7 髧
9b2d 鬭
9b81 鮁
9b83 鮃
9b84 鮄
9b8b 鮋
9b8e 鮎
9b97 鮗
9b9f 鮟
9ba3 鮣
9bb0 鮰
9bbb 鮻
9bc1 鯁
9bd2 鯒
9bed 鯭
9bee 鯮
9bf1 鯱
9bff 鯿
9c02 鰂
9c0f 鰏
9c15 鰕
9c1b 鰛
9c2e 鰮
9c2f 鰯
9c35 鰵
9c3a 鰺
9c47 鱇
9c5a 鱚
9c5d 鱝
9c70 鱰
9c72 鱲
9d34 鴴
9d50 鵐
9d5e 鵞
9d7e 鵾
9d87 鶇
9d93 鶓
9dc4 鷄
9dc9 鷉
9e0a 鸊
9eaa 麪
9eab 麫
9eaf 麯
9ebf 麿
9ed0 黐
9f08 鼈
9f26 鼦
9f39 鼹
9feb 鿫
9fec 鿬
9ffd 鿽
20779 𠝹
20c41 𠱁
20c78 𠱸
20c96 𠲖
20ccf 𠳏
20d5d 𠵝
20d71 𠵱
20da7 𠶧
20e76 𠹶
20e98 𠺘
20e9d 𠺝
20ea2 𠺢
20ed8 𠻘
20ef9 𠻹
20f2d 𠼭
20f2e 𠼮
20f4c 𠽌
20fea 𠿪
21014 𡀔
2105c 𡁜
2107b 𡁻
210c1 𡃁
210f6 𡃶
21145 𡅅
2197c 𡥼
21c2a 𡰪
21ca2 𡲢
220c7 𢃇
22acf 𢫏
22b43 𢭃
22bca 𢯊
22c51 𢱑
22c55 𢱕
22c62 𢱢
22cc2 𢳂
22d4c 𢵌
